location,symbol,unit,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
"Columbus, GA",TAN,°F,38,40.4,46.6,53.5,62.9,70.1,73.2,72.7,67.3,56.2,45.9,39.1,55.5
"Columbus, GA",TAX,°F,57.4,61.2,68.7,76,83.4,88.5,91.3,90.4,85.5,76.4,67.2,58.4,75.4
"Columbus, GA",V,mi/hr,6.5,6.7,7.2,6.7,6.3,5.6,5.6,5.1,6,5.6,5.6,6,6
"Columbus, GA",I,Btu/ft2/day,823,1079,1409,1773,1936,1936,1936,1718,1491,1211,949,753,1418
"Columbus, GA",PA,lb/in2,,,,,,,,,,,,,14.49
"Macon, GA",TAN,°F,36.3,38.6,44.8,51,60.1,68.3,71.6,70.8,64.7,53,43,36.8,53.2
"Macon, GA",TAX,°F,57.8,61.3,68.8,76.1,83.9,89,91.7,90.5,85.5,76.6,67.6,58.9,75.7
"Macon, GA",V,mi/hr,6.7,6.7,6.9,6.5,6,5.4,4.9,4.7,5.4,5.1,5.4,6,5.8
"Macon, GA",I,Btu/ft2/day,852,1107,1460,1839,2026,1978,1981,1788,1523,1233,960,783,1461
"Macon, GA",PA,lb/in2,,,,,,,,,,,,,14.5
"Savannah, GA",TAN,°F,40,42,48.3,54.5,62.9,70.4,73.3,73,68.6,58.1,47.9,41.3,56.7
"Savannah, GA",TAX,°F,60.5,63.5,70.2,76.9,83.6,88.3,91.3,89.7,85.2,77.6,69.5,61.8,76.5
"Savannah, GA",V,mi/hr,7.2,7.4,7.8,7.4,6.7,6.3,5.6,5.6,6.5,6.3,6,6.5,6.5
"Savannah, GA",I,Btu/ft2/day,876,1134,1484,1847,2015,1947,1981,1765,1477,1224,993,817,1464
"Savannah, GA",PA,lb/in2,,,,,,,,,,,,,14.66
"Hilo, HI",TAN,°F,64.1,64,65.1,65.9,67.2,68.5,69.5,70,69.4,68.8,67.5,65.6,67.1
"Hilo, HI",TAX,°F,78.6,78.1,78.5,78.7,80.7,81.9,82.7,83,83,82.3,80.4,79,80.6
"Hilo, HI",V,mi/hr,6.7,7.2,7.2,6.9,6.7,6.5,6.5,6.3,6.3,6.3,6.3,6.5,6.5
"Hilo, HI",I,Btu/ft2/day,1187,1316,1431,1617,1743,1820,1822,1748,1672,1413,1137,1076,1498
"Hilo, HI",PA,lb/in2,,,,,,,,,,,,,14.68
"Honolulu, HI",TAN,°F,67.1,67.3,68.5,70.3,71.8,74.3,75.3,76,75.1,74.2,72.1,69.5,71.8
"Honolulu, HI",TAX,°F,79.5,79.6,80.4,82.3,84.1,86.3,87.2,88,87.6,86,83.2,80.8,83.8
"Honolulu, HI",V,mi/hr,8.7,9.2,10.3,11.2,10.3,12.1,12.1,12.1,10.5,10.1,9.6,9.4,10.5
"Honolulu, HI",I,Btu/ft2/day,1279,1511,1737,1995,2071,2155,2127,2075,1901,1595,1318,1177,1745
"Honolulu, HI",PA,lb/in2,,,,,,,,,,,,,14.69
"Kahului, HI",TAN,°F,64,63.7,65,66.5,67.7,70.3,71.8,72.3,71.2,70.2,68.4,65.9,68.1
"Kahului, HI",TAX,°F,79.7,79.7,80.3,81.6,83.9,85.5,86.3,87,87,86,83.1,80.9,83.4
"Kahului, HI",V,mi/hr,10.5,11.2,11.9,13,12.1,14.8,15,14.5,12.8,11.9,11.2,10.7,12.5
"Kahului, HI",I,Btu/ft2/day,1335,1552,1727,1984,2126,2228,2164,2115,1932,1682,1377,1257,1790
"Kahului, HI",PA,lb/in2,,,,,,,,,,,,,14.66
"Lihue, HI",TAN,°F,66,66.3,67.4,69.3,71,73.7,74.6,75.2,74.7,73.7,71.3,68.7,71
"Lihue, HI",TAX,°F,77.1,76.6,77.3,78.2,80.5,82.4,83.4,83.9,84,82.7,80,78.2,80.4
"Lihue, HI",V,mi/hr,11.9,12.5,13.2,14.3,12.8,14.3,14.8,14.3,13,13,13.2,12.8,13.4
"Lihue, HI",I,Btu/ft2/day,1193,1375,1566,1755,1941,2022,1956,1918,1779,1427,1161,1036,1594
"Lihue, HI",PA,lb/in2,,,,,,,,,,,,,14.63
"Boise, ID",TAN,°F,26.2,29,34.5,39.3,47.2,53.9,61.5,60.5,52.2,41.3,31.9,26.2,42
"Boise, ID",TAX,°F,38.5,45.3,54.4,61,71.3,80,91.3,89.3,79.1,64,47.8,38.5,63.4
"Boise, ID",V,mi/hr,6.9,7.6,8.7,8.7,8.3,8.1,7.6,7.4,7.2,7.2,6.9,7.4,7.6
"Boise, ID",I,Btu/ft2/day,492,831,1255,1705,2135,2360,2476,2163,1695,1102,580,427,1435
"Boise, ID",PA,lb/in2,,,,,,,,,,,,,13.52
"Lewiston, ID",TAN,°F,30.7,32.4,36.4,41.2,48.1,54.1,61.3,60.3,52.4,42,34.7,29.9,43.6
"Lewiston, ID",TAX,°F,41.1,46.7,54.1,60.9,70.1,77.1,88.9,88.1,78.2,61.6,47.4,39.7,62.8
"Lewiston, ID",V,mi/hr,6,5.6,6,6,5.6,5.6,5.6,5.4,4.7,4.7,5.4,6,5.6
"Lewiston, ID",I,Btu/ft2/day,407,698,1068,1497,1870,2063,2307,2003,1473,882,448,326,1254
"Lewiston, ID",PA,lb/in2,,,,,,,,,,,,,13.95
"Pocatello, ID",TAN,°F,18,20.7,27.9,33.5,40.8,47,53.2,51.5,42.9,33.8,24.4,18.7,34.4
"Pocatello, ID",TAX,°F,33.4,38.1,49,57.4,67.9,76.7,87.9,86.8,76,60.7,44.5,33.8,59.3
"Pocatello, ID",V,mi/hr,9.4,8.9,10.5,11.2,10.3,9.6,8.5,8.5,8.3,9.4,9.4,9.4,9.4
"Pocatello, ID",I,Btu/ft2/day,485,817,1292,1680,2084,2327,2398,2081,1634,1103,605,413,1410
"Pocatello, ID",PA,lb/in2,,,,,,,,,,,,,12.52
"Chicago, IL",TAN,°F,17.7,21.4,29.8,39.8,49.3,59.3,64.9,64,55.3,44.2,33.3,22.3,41.8
"Chicago, IL",TAX,°F,30.7,35.2,46,58.4,69.1,78.9,83,81,74.2,61.8,47.7,34.9,58.4
"Chicago, IL",V,mi/hr,11,10.7,11,11.2,9.8,8.5,8.3,7.8,8.3,9.6,10.5,10.3,9.8
"Chicago, IL",I,Btu/ft2/day,487,755,1103,1453,1718,1939,1898,1621,1332,913,549,423,1183
"Chicago, IL",PA,lb/in2,,,,,,,,,,,,,14.34
"Moline, IL",TAN,°F,15.3,20.2,29.9,40.9,51.2,61,65.1,63.5,54.2,43.2,31.9,20.3,41.4
"Moline, IL",TAX,°F,30.5,35.8,48.7,62.1,72.3,81.6,84.5,82.8,76.2,63.8,48.7,34.9,60.2
"Moline, IL",V,mi/hr,9.2,8.9,9.8,10.1,8.5,6.9,6.3,5.8,6.5,7.8,8.7,8.5,8.1
"Moline, IL",I,Btu/ft2/day,532,798,1181,1469,1756,1959,1949,1712,1400,946,593,456,1229
"Moline, IL",PA,lb/in2,,,,,,,,,,,,,14.39
"Peoria, IL",TAN,°F,17.8,22.2,31.4,42.4,52.4,62,65.8,64.6,55.7,44.3,33.3,22.5,42.9
"Peoria, IL",TAX,°F,32.1,37.8,50,62.6,72.3,81.4,84.5,83,76.5,64.1,49.7,36.4,60.9
"Peoria, IL",V,mi/hr,9.2,9.2,9.8,10.1,8.5,7.2,6.5,6,6.5,7.8,8.9,8.7,8.3
"Peoria, IL",I,Btu/ft2/day,553,845,1179,1503,1746,1990,1982,1724,1444,983,608,475,1253
"Peoria, IL",PA,lb/in2,,,,,,,,,,,,,14.34
"Rockford, IL",TAN,°F,14.1,18.5,27.7,38.6,48.9,59.1,62.8,61.6,52.6,41.4,30.6,18.9,39.6
"Rockford, IL",TAX,°F,28.3,33.4,45.7,59.4,70.1,79.5,82.5,81,74.2,61.7,46.5,32.8,57.9
"Rockford, IL",V,mi/hr,9.8,9.8,10.5,11.2,9.6,7.8,7.2,6.7,7.4,8.9,9.8,9.4,8.9
"Rockford, IL",I,Btu/ft2/day,483,766,1123,1442,1700,1933,1881,1647,1337,902,545,401,1180
"Rockford, IL",PA,lb/in2,,,,,,,,,,,,,14.32
"Springfield_IL, IL",TAN,°F,19.9,24.2,32.9,43.4,53.8,62.7,65.6,64.5,55,44.6,34.6,24.4,43.8
"Springfield_IL, IL",TAX,°F,34.3,40.2,51.7,64.3,73.9,82.1,85,84.1,78.2,66.1,51.7,38.7,62.5
"Springfield_IL, IL",V,mi/hr,10.7,10.7,11.2,11.4,9.4,7.6,6.5,6.3,6.7,8.7,10.5,10.3,9.2
"Springfield_IL, IL",I,Btu/ft2/day,561,862,1179,1513,1747,1983,2017,1766,1459,1035,641,501,1272
"Springfield_IL, IL",PA,lb/in2,,,,,,,,,,,,,14.39
"Evansville, IN",TAN,°F,25.9,28.6,36.3,46.3,56.2,65.2,68.6,66.8,58.1,47.1,37.4,28.8,47.1
"Evansville, IN",TAX,°F,40.7,45.6,55.6,67.2,76,84.4,87.2,87.3,80.6,69.2,55.5,43.8,66.1
"Evansville, IN",V,mi/hr,8.3,8.3,8.3,8.5,6.9,6,5.6,5.1,5.4,6,7.4,7.6,6.9
"Evansville, IN",I,Btu/ft2/day,598,880,1173,1574,1796,2005,1994,1850,1484,1097,693,525,1306
"Evansville, IN",PA,lb/in2,,,,,,,,,,,,,14.49
"Fort Wayne, IN",TAN,°F,18.6,21.5,29.6,40,50,60.4,63.2,61.6,53.1,42.9,33.5,23.5,41.5
"Fort Wayne, IN",TAX,°F,32,36.2,47.4,60.7,70.9,80.1,83.2,81.3,75.5,63.1,49,36.1,59.6
"Fort Wayne, IN",V,mi/hr,11,10.5,10.5,10.7,9.4,7.6,6.9,6.3,6.9,8.5,9.8,10.3,9.2
"Fort Wayne, IN",I,Btu/ft2/day,490,750,1131,1458,1709,1923,1944,1677,1371,935,560,420,1197
"Fort Wayne, IN",PA,lb/in2,,,,,,,,,,,,,14.29
"Indianapolis, IN",TAN,°F,21.5,24.7,33.3,43.8,53.5,63.1,66.2,65.5,57.2,45.7,35.7,25.9,44.7
"Indianapolis, IN",TAX,°F,35.6,40.2,51.2,63.3,72.3,81.1,84.1,83.6,77.3,65.1,51.6,39.3,62
"Indianapolis, IN",V,mi/hr,11,11,11,11.4,9.6,8.3,7.8,7.4,7.8,8.9,10.3,10.5,9.6
"Indianapolis, IN",I,Btu/ft2/day,550,815,1165,1486,1757,1958,1934,1739,1441,1012,615,472,1245
"Indianapolis, IN",PA,lb/in2,,,,,,,,,,,,,14.29
"South Bend, IN",TAN,°F,18.6,21.4,28.9,39.2,49.2,59.4,63.3,62.2,54,43.4,33.5,23.6,41.4
"South Bend, IN",TAX,°F,31.3,35.4,46.5,59.5,69.6,79.1,82.3,80.5,73.9,61.7,47.8,35.5,58.6
"South Bend, IN",V,mi/hr,10.7,10.3,10.3,10.5,9.2,7.6,7.4,6.7,7.2,8.5,9.6,10.1,8.9
"South Bend, IN",I,Btu/ft2/day,433,698,1130,1471,1729,1935,1898,1646,1335,889,518,389,1173
"South Bend, IN",PA,lb/in2,,,,,,,,,,,,,14.29
"Des Moines, IA",TAN,°F,14.1,19.3,29.6,41.3,52.4,62.4,66.6,64.9,55.1,43.6,30.9,19.3,41.6
"Des Moines, IA",TAX,°F,29.6,35.5,48,61.3,71.2,80.5,84.3,82.7,75.5,62.9,47.4,34.5,59.5
"Des Moines, IA",V,mi/hr,10.3,10.1,11,11.2,10.1,8.7,8.1,7.6,8.5,9.6,10.3,9.8,9.6
"Des Moines, IA",I,Btu/ft2/day,545,817,1181,1507,1782,1979,1995,1762,1435,986,613,482,1257
"Des Moines, IA",PA,lb/in2,,,,,,,,,,,,,14.2
"Dubuque, IA",TAN,°F,11.8,16.7,27,38.4,49,58.9,62.3,60.9,52.1,40.7,29.2,17,38.7
"Dubuque, IA",TAX,°F,26,31.1,43.6,57.6,68.4,77.6,80.4,78.9,71.9,59.5,44.3,30.6,55.8
"Dubuque, IA",V,mi/hr,11,11,11.4,11.9,10.1,8.5,7.6,7.2,8.3,10.1,11,10.5,9.8
"Dubuque, IA",I,Btu/ft2/day,503,764,1135,1476,1718,1933,1904,1668,1348,903,551,422,1194
"Dubuque, IA",PA,lb/in2,,,,,,,,,,,,,14.14
"Mason City, IA",TAN,°F,7.8,12.9,24.1,35.7,47.4,57.7,61,58.6,48.9,37.7,25.5,13.5,35.9
"Mason City, IA",TAX,°F,23.6,29,41.6,57.7,68.9,78.5,81.6,79.4,72.9,59.8,42.9,28.7,55.4
"Mason City, IA",V,mi/hr,12.3,12.3,12.5,13.2,12.3,10.3,8.7,7.8,9.2,11,11.9,11.9,11.2
"Mason City, IA",I,Btu/ft2/day,469,722,1111,1479,1707,1902,1944,1678,1308,878,538,388,1177
"Mason City, IA",PA,lb/in2,,,,,,,,,,,,,14.07
"Sioux City, IA",TAN,°F,11,16.5,26.3,37.9,49.7,59.7,63.9,61.6,51.2,39.2,26.2,15.3,38.2
"Sioux City, IA",TAX,°F,28.9,34.7,46.7,61.1,72.2,81.2,84.4,82.6,76,63,46.2,32.7,59.1
"Sioux City, IA",V,mi/hr,11,11,11.4,12.5,11.6,9.6,8.3,7.8,9.2,10.1,10.7,10.7,10.3
"Sioux City, IA",I,Btu/ft2/day,522,787,1178,1532,1774,2010,2046,1787,1418,982,624,468,1260
"Sioux City, IA",PA,lb/in2,,,,,,,,,,,,,14.13
"Waterloo, IA",TAN,°F,9.7,15.3,26.2,37.7,49.4,59.7,62.8,60.4,51,39.6,27.4,15.3,37.9
"Waterloo, IA",TAX,°F,26.3,31.5,44.6,59.6,70.6,80,82.7,80.8,74.7,61.5,45.3,31.2,57.4
"Waterloo, IA",V,mi/hr,10.5,10.7,11.2,11.9,10.5,8.7,7.6,7.2,8.1,9.6,10.3,10.1,9.6
"Waterloo, IA",I,Btu/ft2/day,505,755,1131,1451,1722,1924,1952,1698,1357,909,554,418,1198
"Waterloo, IA",PA,lb/in2,,,,,,,,,,,,,14.24
"Concordia, KS",TAN,°F,19.3,23.3,31.9,42,52.8,62.7,68,66.1,56.5,44.6,32,22.1,43.4
"Concordia, KS",TAX,°F,37.6,43.2,53.9,64,73.7,84.3,89.7,87.9,79.3,66.8,51.6,40,64.3
"Concordia, KS",V,mi/hr,10.3,10.7,12.1,12.8,11.2,10.7,10.1,9.4,10.5,10.7,11,10.3,10.7
"Concordia, KS",I,Btu/ft2/day,701,948,1319,1647,1881,2123,2140,1916,1544,1128,772,608,1394
"Concordia, KS",PA,lb/in2,,,,,,,,,,,,,13.94
"Dodge City, KS",TAN,°F,20.8,24.4,31.6,40.9,52.1,61.4,66.7,65.4,56.1,43.7,30.7,22.6,43
"Dodge City, KS",TAX,°F,43.6,48.3,57.2,66.7,76.6,86,91.9,89.7,81.5,69.2,55.1,44.6,67.6
"Dodge City, KS",V,mi/hr,12.1,12.8,14.1,14.8,13.6,13.2,12.1,11.4,12.8,12.8,12.5,12.1,13
"Dodge City, KS",I,Btu/ft2/day,816,1068,1439,1786,2049,2230,2272,1980,1636,1239,889,740,1512
"Dodge City, KS",PA,lb/in2,,,,,,,,,,,,,13.39
"Goodland, KS",TAN,°F,17.7,20.4,27.1,35.3,46.3,56.3,62,60.5,50.6,38.1,26.5,18.8,38.3
"Goodland, KS",TAX,°F,41.8,45.4,54.4,62.7,72.9,83.2,89.2,86.3,78.5,65.6,51.7,42.9,64.5
"Goodland, KS",V,mi/hr,11.6,12.1,13.2,13.9,13,12.3,11,10.5,11.4,11.9,11.6,11.6,12.1
"Goodland, KS",I,Btu/ft2/day,785,1014,1426,1762,2007,2274,2301,2013,1646,1216,826,681,1496
"Goodland, KS",PA,lb/in2,,,,,,,,,,,,,12.88
"Russell, KS",TAN,°F,18.8,22.8,31.4,40.9,52.3,62.4,67.6,66.3,56.5,43.7,30.5,21.3,42.9
"Russell, KS",TAX,°F,40.7,45.6,55.6,65.2,75.1,85.6,91.6,89.1,80.7,68.3,53.9,42.3,66.1
"Russell, KS",V,mi/hr,11.4,12.1,13.4,14.3,12.8,12.5,11.9,11.2,12.3,12.8,12.3,11.6,12.3
"Russell, KS",I,Btu/ft2/day,739,986,1343,1669,1944,2144,2176,1927,1571,1153,818,655,1427
"Russell, KS",PA,lb/in2,,,,,,,,,,,,,13.74
"Topeka, KS",TAN,°F,20.3,25.1,33.7,44.3,55,64.6,69.3,67.4,57,45.8,33.8,24,45
"Topeka, KS",TAX,°F,39,45.3,55.7,65.9,75.4,83.9,89,88.5,79.6,68.1,53.9,42.3,65.6
"Topeka, KS",V,mi/hr,8.1,8.3,9.6,9.8,8.3,7.6,6.7,6,6.7,7.4,8.1,7.6,7.8
"Topeka, KS",I,Btu/ft2/day,679,944,1277,1574,1809,2027,2069,1864,1497,1102,733,598,1348
"Topeka, KS",PA,lb/in2,,,,,,,,,,,,,14.23
"Wichita, KS",TAN,°F,23.1,27.4,35.7,45.2,56.2,65.5,70.3,69.3,60,47.7,35.5,25.8,46.8
"Wichita, KS",TAX,°F,42.2,48.5,57.3,67,76.3,85.8,91.3,90.4,81.7,69.6,55.7,44,67.5
"Wichita, KS",V,mi/hr,11,11.4,12.8,13.4,11.6,11.6,10.7,10.1,10.7,11.2,11.4,10.7,11.4
"Wichita, KS",I,Btu/ft2/day,763,1050,1345,1701,1930,2132,2179,1961,1567,1173,831,666,1442
"Wichita, KS",PA,lb/in2,,,,,,,,,,,,,14.01
"Cincinnati, KY",TAN,°F,23.8,26.2,34.1,44.3,53.7,62.5,66.1,65.4,57.4,45.9,36.2,27.4,45.2
"Cincinnati, KY",TAX,°F,38.3,42.3,52.2,64.2,72.9,81.2,84.4,84.2,77.5,65.6,52.9,41.4,63.1
"Cincinnati, KY",V,mi/hr,9.4,9.6,9.8,9.6,7.8,6.9,6.5,6.3,6.7,7.4,8.7,8.9,8.1
"Cincinnati, KY",I,Btu/ft2/day,553,832,1167,1532,1782,1956,1937,1768,1439,1027,644,487,1260
"Cincinnati, KY",PA,lb/in2,,,,,,,,,,,,,14.24
"Jackson_KY, KY",TAN,°F,27.9,30.5,37.8,47.7,55.4,63.1,66.6,65.7,58.9,48.7,39.6,31.4,47.8
"Jackson_KY, KY",TAX,°F,43.1,46.9,56.2,67.4,73.7,80.4,83.2,83.4,77.3,67.4,55.9,46.2,65.1
"Jackson_KY, KY",V,mi/hr,6,6,6.3,6.3,4.5,3.6,3.4,3.1,3.8,4.3,5.4,5.6,4.9
"Jackson_KY, KY",I,Btu/ft2/day,591,831,1165,1534,1745,1909,1882,1752,1416,1060,708,539,1261
"Jackson_KY, KY",PA,lb/in2,,,,,,,,,,,,,13.98
"Lexington, KY",TAN,°F,25.9,28.5,35.9,45.6,55,63.4,66.9,65.8,58.3,47.1,37.4,28.9,46.5
"Lexington, KY",TAX,°F,40.8,44.8,54.2,65.4,73.6,81.8,84.9,84.9,78.3,66.9,54.4,43.5,64.5
"Lexington, KY",V,mi/hr,9.4,9.2,9.2,9.2,7.6,6.5,6,5.8,6.3,7.2,8.3,8.7,7.8
"Lexington, KY",I,Btu/ft2/day,571,841,1177,1572,1814,1963,1925,1782,1444,1079,688,517,1281
"Lexington, KY",PA,lb/in2,,,,,,,,,,,,,14.18
"Louisville, KY",TAN,°F,27.7,30.5,38.2,48.2,57.8,66.8,70.3,69.4,61.2,49.7,39.7,30.9,49.2
"Louisville, KY",TAX,°F,42.3,46.8,56.6,67.9,76,84.1,87.3,87.4,80.6,69.2,56.6,44.9,66.7
"Louisville, KY",V,mi/hr,8.9,8.9,8.9,8.9,7.6,6.9,6.7,6.3,6.3,6.7,7.8,8.1,7.6
"Louisville, KY",I,Btu/ft2/day,595,895,1206,1563,1816,1982,1963,1811,1471,1073,692,520,1299
"Louisville, KY",PA,lb/in2,,,,,,,,,,,,,14.45
"Paducah, KY",TAN,°F,27.4,30.6,38.3,47.8,57.2,65.7,69.1,66.8,58.2,47.5,38.2,30,48.1
"Paducah, KY",TAX,°F,43.4,48.5,58.3,69,77.5,85.4,88.3,88.2,81.5,70.6,57.3,46,67.8
"Paducah, KY",V,mi/hr,8.3,8.3,8.9,8.5,6.9,5.8,5.4,4.7,5.1,6,7.4,7.8,6.9
"Paducah, KY",I,Btu/ft2/day,630,893,1224,1607,1820,2017,2031,1888,1494,1121,726,556,1334
"Paducah, KY",PA,lb/in2,,,,,,,,,,,,,14.47
"Baton Rouge, LA",TAN,°F,42.2,44.5,50.5,56.9,65.5,71.4,73.9,73.2,68.6,58.1,48.2,42.8,58
"Baton Rouge, LA",TAX,°F,61.6,65.2,71.4,78,85,89.4,90.9,91.3,87.6,79.7,70.1,63.1,77.8
"Baton Rouge, LA",V,mi/hr,7.2,7.4,7.4,7.4,6.5,5.4,4.9,4.5,5.1,5.4,5.8,6.5,6
"Baton Rouge, LA",I,Btu/ft2/day,822,1075,1375,1736,1894,1914,1896,1813,1553,1291,983,784,1428
"Baton Rouge, LA",PA,lb/in2,,,,,,,,,,,,,14.66
"Lake Charles, LA",TAN,°F,43.4,46.1,52.1,59,67.5,73.4,75.4,74.6,69.9,60.3,50.5,44.6,59.7
"Lake Charles, LA",TAX,°F,61.4,64.7,70.8,77.2,84.2,89,90.6,91.2,87.8,80.3,70.5,63.3,77.6
"Lake Charles, LA",V,mi/hr,8.7,8.9,8.9,8.7,7.4,6.3,5.4,5.1,6.5,7.2,7.6,8.5,7.4
"Lake Charles, LA",I,Btu/ft2/day,833,1046,1395,1727,1920,1977,1930,1825,1575,1321,987,786,1443
"Lake Charles, LA",PA,lb/in2,,,,,,,,,,,,,14.68
"New Orleans, LA",TAN,°F,45.7,48.1,53.8,60.5,68.6,73.9,75.7,75.6,72.7,63.4,52.9,46.9,61.5
"New Orleans, LA",TAX,°F,61.8,65.1,70.9,77.5,84.7,88.9,90.6,90.4,87,79.5,70.5,63.6,77.5
"New Orleans, LA",V,mi/hr,9.2,9.2,9.4,9.4,8.1,6.5,5.8,5.8,7.4,8.1,8.1,8.7,8.1
"New Orleans, LA",I,Btu/ft2/day,873,1114,1454,1798,1964,1928,1856,1791,1570,1328,1038,827,1462
"New Orleans, LA",PA,lb/in2,,,,,,,,,,,,,14.69
"Shreveport, LA",TAN,°F,38.2,41.3,47.8,54.9,64.3,70.9,74,73.4,67.2,56.1,46,39.2,56.1
"Shreveport, LA",TAX,°F,57.2,61.4,68.5,76.1,83.3,89.6,92.9,93.3,87.6,77.8,66.5,58.4,76
"Shreveport, LA",V,mi/hr,8.3,8.3,8.9,8.7,7.6,6.5,6,5.4,6.3,6.3,7.2,7.8,7.2
"Shreveport, LA",I,Btu/ft2/day,783,1001,1342,1709,1837,2007,2049,1915,1575,1251,884,732,1424
"Shreveport, LA",PA,lb/in2,,,,,,,,,,,,,14.56
"Bangor, ME",TAN,°F,8.5,11.1,21.7,32.9,43.3,53.3,58.8,57.1,48.7,37.8,29.5,17.3,35
"Bangor, ME",TAX,°F,27,30.5,39.7,52.7,64.9,74.4,79.1,78.3,69.7,56.8,45.1,33.8,54.3
"Bangor, ME",V,mi/hr,7.8,8.1,8.9,8.9,8.1,7.2,6.7,6.3,6.9,7.8,7.6,7.6,7.6
"Bangor, ME",I,Btu/ft2/day,496,752,1059,1410,1639,1762,1751,1585,1227,792,491,411,1115
"Bangor, ME",PA,lb/in2,,,,,,,,,,,,,14.59
"Caribou, ME",TAN,°F,1.7,4.4,15.9,29.6,40.9,50.6,55.9,53.4,45.3,35.2,25.5,12.1,30.9
"Caribou, ME",TAX,°F,19,22.9,33.5,46.8,61.6,71.2,75.1,73.9,65.4,51.4,38.5,26.5,48.8
"Caribou, ME",V,mi/hr,7.8,8.3,8.7,8.5,7.6,6.7,6,5.8,6.5,7.6,7.6,8.1,7.4
"Caribou, ME",I,Btu/ft2/day,428,674,1034,1390,1684,1800,1703,1542,1136,689,424,353,1071
"Caribou, ME",PA,lb/in2,,,,,,,,,,,,,14.36
"Portland, ME",TAN,°F,14.9,17.1,25.8,35.3,44.8,54.8,60.2,59.2,51.5,40,31.9,21.9,38.1
"Portland, ME",TAX,°F,30.8,33.7,41.3,52.8,62.8,72.6,77.7,77.2,69.4,57.9,47.4,37.2,55.1
"Portland, ME",V,mi/hr,8.1,8.5,9.2,9.2,8.1,7.2,6.7,6.5,6.9,7.6,7.6,8.1,7.8
"Portland, ME",I,Btu/ft2/day,530,803,1111,1471,1714,1838,1844,1688,1295,879,552,458,1182
"Portland, ME",PA,lb/in2,,,,,,,,,,,,,14.66
"Baltimore , MD",TAN,°F,26.6,27.4,34.8,44.3,53.2,63.1,68,66.6,59.1,46.6,37.7,29.6,46.4
"Baltimore , MD",TAX,°F,42.2,44.7,53.5,65.1,73.9,82.8,86.9,85.3,78,66.7,56.2,45.5,65
"Baltimore , MD",V,mi/hr,7.8,8.3,8.7,8.3,7.2,6.5,6,5.6,6.3,6.3,6.9,7.4,7.2
"Baltimore , MD",I,Btu/ft2/day,653,929,1231,1555,1774,1918,1866,1681,1350,1036,709,580,1274
"Baltimore , MD",PA,lb/in2,,,,,,,,,,,,,14.62
"Boston, MA",TAN,°F,23.1,25,31.7,41.2,50.4,60.3,66,65.2,58.2,47.2,38.6,29.1,44.7
"Boston, MA",TAX,°F,36.2,38.3,45.1,55.8,65.7,75.8,80.8,79.3,72.1,61.3,51.1,41.4,58.6
"Boston, MA",V,mi/hr,12.5,12.8,13,12.1,11.2,10.3,10.1,9.8,10.5,11.2,11.4,12.5,11.4
"Boston, MA",I,Btu/ft2/day,558,833,1113,1461,1703,1811,1830,1657,1284,913,576,475,1184
"Boston, MA",PA,lb/in2,,,,,,,,,,,,,14.68
"Worchester, MA",TAN,°F,17.7,19.6,26.9,37.5,47.2,56.9,62,61.1,53.7,42.4,33.8,23.8,40.2
"Worchester, MA",TAX,°F,31.2,34,42.2,55,65.2,73.5,77.9,76.7,68.9,57.8,47.3,36.6,55.5
"Worchester, MA",V,mi/hr,11.4,11.9,11.4,10.7,10.1,9.2,8.9,8.5,8.9,10.1,10.5,11.6,10.3
"Worchester, MA",I,Btu/ft2/day,567,821,1123,1454,1675,1764,1848,1619,1276,903,584,477,1176
"Worchester, MA",PA,lb/in2,,,,,,,,,,,,,14.18
"Alpena, MI",TAN,°F,12.7,12.1,19.8,31.5,41.4,51.3,56.1,54.7,47.4,37.7,29.3,19.4,34.4
"Alpena, MI",TAX,°F,26.9,29.1,38.3,51.6,63.9,74.3,78,76.8,69.1,56.1,43.1,32.3,53.3
"Alpena, MI",V,mi/hr,8.3,8.3,8.3,8.7,7.8,6.5,6.3,6,6.7,7.4,7.8,7.8,7.4
"Alpena, MI",I,Btu/ft2/day,401,653,1103,1457,1771,1948,1896,1632,1232,752,439,346,1136
"Alpena, MI",PA,lb/in2,,,,,,,,,,,,,14.33
"Detroit Metro_AP, MI",TAN,°F,19.6,21.6,28.8,39.9,49.9,60.5,64.1,63.4,55.2,44,34.6,24.9,42.2
"Detroit Metro_AP, MI",TAX,°F,31.9,34.9,45.4,58.7,69.1,78.9,82.3,80.7,73.7,61.4,48.1,36.1,58.4
"Detroit Metro_AP, MI",V,mi/hr,11,10.3,10.1,10.3,8.9,8.1,8.1,7.2,7.6,9.2,10.1,10.3,9.2
"Detroit Metro_AP, MI",I,Btu/ft2/day,479,755,1117,1442,1738,1922,1896,1620,1332,861,510,400,1173
"Detroit Metro_AP, MI",PA,lb/in2,,,,,,,,,,,,,14.36
"Detroit - City, MI",TAN,°F,20.9,22.5,29.3,40.1,50.3,61.1,65.5,64.6,56.6,45.4,35.8,26.1,43.2
"Detroit - City, MI",TAX,°F,32.3,35.3,45,58.1,68.9,79,82.8,81,73.8,61.2,48.1,36.5,58.5
"Detroit - City, MI",V,mi/hr,10.1,9.8,9.6,9.8,8.7,7.6,7.6,6.9,7.4,8.5,9.2,9.6,8.7
